,Local.Authority,Eligible,ValidVotes,PctTurnout,Con,Lab,LD,UKIP,Green,BNP,SNP,PC,Other,GSSCode,MatchName
158,Milton Keynes ,179683,64978,36.2,0.2545169134,0.2458370525,0.0807657977,0.2870663917,0.0725784112,0.010942165,NA,NA,0.0482932685,E06000042,Milton Keynes
159,Mole Valley  ,66885,29360,43.9,0.3802452316,0.0736716621,0.1315735695,0.2767711172,0.0877384196,0.0055858311,NA,NA,0.0444141689,E07000210,Mole Valley
160,New Forest  ,142683,50536,35.4,0.3483853095,0.0799430109,0.069574165,0.3733378186,0.0820405256,0.0058572107,NA,NA,0.0408619598,E07000091,New Forest
161,Oxford ,103855,39436,38,0.1520691754,0.3300284004,0.1352064104,0.1262551983,0.2114058221,0.0055786591,NA,NA,0.0394563343,E07000178,Oxford
162,Portsmouth ,143620,47362,33,0.2217811748,0.1699463705,0.1019171488,0.342299734,0.1035429247,0.0103669609,NA,NA,0.0501456864,E06000044,Portsmouth
163,Reading ,118074,38634,32.7,0.2328518921,0.3124449966,0.0734068437,0.2022053114,0.1236475643,0.0086193508,NA,NA,0.046824041,E06000038,Reading
164,Reigate and Banstead ,102286,38003,37.2,0.3564981712,0.105649554,0.073388943,0.3075020393,0.1010446544,0.0084730153,NA,NA,0.0474436229,E07000211,Reigate and Banstead
165,Rother  ,70082,27045,38.6,0.3142909965,0.1077463487,0.0620447402,0.3909779996,0.0760584211,0.0053984101,NA,NA,0.0434830837,E07000064,Rother
166,Royal Borough of Windsor & Maidenhead ,102320,36075,35.3,0.3980873181,0.1109078309,0.0844629245,0.2819126819,0.0761746362,0.0064864865,NA,NA,0.041968122,E06000040,Windsor and Maidenhead
167,Runnymede ,63842,20565,32.2,0.3359591539,0.1315827863,0.0522732798,0.3347434962,0.0793581327,0.009190372,NA,NA,0.056892779,E07000212,Runnymede
168,Rushmoor ,65349,22419,34.3,0.28703332,0.1621838619,0.0665060886,0.3439939337,0.0740889424,0.0127124314,NA,NA,0.053481422,E07000092,Rushmoor
169,Sevenoaks  ,85939,32140,37.4,0.3479153703,0.1042003734,0.0620099564,0.3694150591,0.0690728065,0.0063783447,NA,NA,0.0410080896,E07000111,Sevenoaks
170,Shepway ,80063,30334,37.9,0.2677523571,0.1005142744,0.0496802268,0.4327816971,0.0919760005,0.0086371728,NA,NA,0.0486582712,E07000112,Shepway
171,Slough  ,90059,32691,36.3,0.1921935701,0.4701905723,0.0289376281,0.2000244716,0.0375026766,0.0115016365,NA,NA,0.0596494448,E06000039,Slough
172,South Bucks ,52050,17743,34.1,0.4034267035,0.0895000845,0.0570365778,0.352646114,0.0556275714,0.0055796652,NA,NA,0.0361832835,E07000006,South Bucks
173,South Oxfordshire ,102421,35165,34.3,0.3569742642,0.1209441206,0.0926489407,0.2751030855,0.1118157259,0.0068818427,NA,NA,0.0356320205,E07000179,South Oxfordshire
174,Southampton ,167714,55591,33.1,0.2151247504,0.26227267,0.0606932777,0.292349481,0.1036498714,0.0094979403,NA,NA,0.0564120091,E06000045,Southampton
175,Spelthorne ,72971,25338,34.7,0.2840792486,0.1437366801,0.0572657668,0.4014128976,0.0607782777,0.0082090141,NA,NA,0.0445181151,E07000213,Spelthorne
176,Surrey Heath ,64481,21357,33.1,0.3943437749,0.0964554947,0.0720606827,0.3280891511,0.0628833638,0.0055251206,NA,NA,0.0406424123,E07000214,Surrey Heath
177,Swale  ,97554,32613,33.4,0.2525373317,0.1582804403,0.0402906816,0.4331094962,0.0637782479,0.0098427008,NA,NA,0.0421611014,E07000113,Swale
178,Tandridge  ,59807,25100,42,0.3766135458,0.0794023904,0.085059761,0.3410358566,0.0671314741,0.0064143426,NA,NA,0.0443426295,E07000215,Tandridge
179,Test Valley  ,92664,34381,37.1,0.3638928478,0.087228411,0.0900206509,0.3276519008,0.0849015445,0.0063116256,NA,NA,0.0399930194,E07000093,Test Valley
180,Thanet ,98854,35836,36.3,0.2236856792,0.1676526398,0.0326487331,0.4602076125,0.0642928898,0.0073668936,NA,NA,0.044145552,E07000114,Thanet
181,Tonbridge and Malling ,86772,31631,36.5,0.3458632354,0.1157092725,0.0630710379,0.3591413487,0.070816604,0.0061016092,NA,NA,0.0392968923,E07000115,Tonbridge and Malling
182,Tunbridge Wells  ,80452,31822,39.6,0.3687386085,0.1081013136,0.0871723965,0.3006410659,0.0848155364,0.0060649865,NA,NA,0.0444660926,E07000116,Tunbridge Wells
183,Vale White Horse ,93068,33424,35.9,0.3275490665,0.1226962662,0.1397797989,0.2613092389,0.1072881762,0.0051759215,NA,NA,0.0362015318,E07000180,Vale of White Horse
184,Waverley  ,92096,34203,37.1,0.4108996287,0.0835891588,0.0948747186,0.2639242172,0.1058386691,0.0047364266,NA,NA,0.0361371809,E07000216,Waverley
185,Wealden ,117333,44453,37.9,0.3374350438,0.082514116,0.0697590714,0.3736080804,0.0909274965,0.0053539694,NA,NA,0.0404022226,E07000065,Wealden
186,West Berkshire ,114388,40357,35.3,0.3794632901,0.0985207027,0.1060534728,0.2900612038,0.0840002973,0.0073345392,NA,NA,0.034566494,E06000037,West Berkshire
187,West Oxfordshire ,79555,30601,38.5,0.3872749257,0.1282637822,0.0733636156,0.2513643345,0.1076762197,0.0063396621,NA,NA,0.0457174602,E07000181,West Oxfordshire
188,Winchester City ,92203,39654,43,0.3700005044,0.0829928885,0.167650174,0.2285267564,0.1126241993,0.0048671004,NA,NA,0.033338377,E07000094,Winchester
189,Woking Borough ,70317,27528,39.1,0.378523685,0.1319020634,0.1172260971,0.2464399884,0.074251671,0.00704737,NA,NA,0.0446091253,E07000217,Woking
190,Wokingham ,118842,46246,38.9,0.3895688276,0.118150759,0.1095013623,0.2517190676,0.0832071963,0.0057950958,NA,NA,0.0420576915,E06000041,Wokingham
191,Worthing ,78618,28117,35.8,0.286161397,0.1119607355,0.0842195113,0.3623430665,0.1021801757,0.0056193762,NA,NA,0.0475157378,E07000229,Worthing
192,Wycombe  ,126005,41250,32.7,0.3589575758,0.1412606061,0.068630303,0.3020606061,0.082230303,0.0058666667,NA,NA,0.0409939394,E07000007,Wycombe
193,Babergh District Council ,69928,26358,37.7,0.3124288641,0.1314591395,0.0666590788,0.3496851051,0.1023598149,0.0046665149,NA,NA,0.0327414827,E07000200,Babergh
194,Basildon District Council ,131950,42230,32,0.2415818139,0.1728865735,0.0291972531,0.4481648117,0.048117452,0.0133554345,NA,NA,0.0466966611,E07000066,Basildon
195,Bedford Borough Council ,119150,40572,34.1,0.2821650399,0.2366903283,0.0804988662,0.2827072858,0.0699004239,0.007665385,NA,NA,0.0403726708,E06000055,Bedford
196,Braintree District Council ,110249,37445,34,0.2952330084,0.1470423287,0.0389371078,0.3910001335,0.0830017359,0.0081986914,NA,NA,0.0365869943,E07000067,Braintree
197,Breckland District Council ,94755,34097,36,0.2891456726,0.1296301727,0.0355163211,0.422119248,0.080388304,0.0069800862,NA,NA,0.0362201953,E07000143,Breckland
198,Brentwood Borough Council ,58238,22747,39.1,0.3283509913,0.1032663648,0.0827801468,0.3745988482,0.0632610894,0.0085285972,NA,NA,0.0392139623,E07000068,Brentwood
199,Broadland District Council ,98103,35244,35.9,0.2926171831,0.1500397231,0.0607763023,0.366019748,0.0968959255,0.005277494,NA,NA,0.0283736239,E07000144,Broadland
200,Broxbourne Borough Council ,69639,22945,32.9,0.3141860972,0.1461320549,0.0260623229,0.4135541512,0.0423621704,0.011898017,NA,NA,0.0458051863,E07000095,Broxbourne
201,Cambridge City Council ,84292,37057,44,0.1587554308,0.2794613703,0.2122675878,0.1237283104,0.1991796422,0.0032922255,NA,NA,0.023315433,E07000008,Cambridge
202,Castle Point Borough Council ,67670,23853,35.2,0.2582065149,0.1255188027,0.0184043936,0.4775499937,0.0482538884,0.0145055129,NA,NA,0.0575608938,E07000069,Castle Point
203,Central Bedfordshire ,201913,66641,33,0.3146261311,0.1444005942,0.0530304167,0.367776594,0.0753139959,0.0076079291,NA,NA,0.0372443391,E06000056,Central Bedfordshire
204,Chelmsford Borough Council ,128335,43612,34,0.3144547372,0.1211822434,0.0869026873,0.3683619187,0.0725029808,0.0053654957,NA,NA,0.0312299367,E07000070,Chelmsford
205,Colchester Borough Council ,123218,45439,36.9,0.279055437,0.1477805409,0.1111160017,0.3188670525,0.0999801932,0.0064702128,NA,NA,0.0367305619,E07000071,Colchester
206,Dacorum Borough Council ,109482,36211,33.1,0.3227748474,0.1615255033,0.0822125873,0.3065919196,0.0889784872,0.0068211317,NA,NA,0.0310955235,E07000096,Dacorum
207,East Cambs District Council ,62835,21016,33.4,0.3184240579,0.1214312904,0.1095831747,0.3118100495,0.1002093643,0.0053768557,NA,NA,0.0331652075,E07000009,East Cambridgeshire
208,East Herts District Council ,100340,37351,37.2,0.3572327381,0.1369441247,0.0646301304,0.3160825681,0.0870927151,0.0068271264,NA,NA,0.0311905973,E07000242,East Hertfordshire
209,Epping Forest District Council ,97320,34429,35.4,0.3120044149,0.1137122774,0.0496383862,0.4027418746,0.0668331929,0.0113276598,NA,NA,0.0437421941,E07000072,Epping Forest
210,Fenland District Council  ,69659,23152,33.2,0.2886143746,0.108845888,0.0336040083,0.4730044921,0.0421561852,0.0101935038,NA,NA,0.043581548,E07000010,Fenland
211,Forest Heath District Council  ,38087,12688,33.3,0.2827080706,0.1111286255,0.0335750315,0.4582282472,0.0600567465,0.0086696091,NA,NA,0.0456336696,E07000201,Forest Heath
212,Great Yarmouth Borough Council ,71903,26095,36.3,0.2249856294,0.2080475187,0.0177428626,0.4516574056,0.0507760107,0.0101935237,NA,NA,0.0365970492,E07000145,Great Yarmouth
213,Harlow Council ,60664,20655,34,0.2091019124,0.2607601065,0.0276930525,0.3922052772,0.0484628419,0.0118131203,NA,NA,0.0499636892,E07000073,Harlow
214,Hertsmere Borough Council ,75789,26326,34.7,0.3767378257,0.174884145,0.0480893413,0.2907012079,0.060092684,0.0070272734,NA,NA,0.0424675226,E07000098,Hertsmere
215,Huntingdonshire District Council ,126882,45623,36,0.3361243233,0.1005413936,0.0786664621,0.367468163,0.0744580584,0.0052385858,NA,NA,0.0375030138,E07000011,Huntingdonshire
216,Ipswich Borough Council ,94737,34072,36,0.2205916882,0.2892697816,0.0477811693,0.3111939422,0.079243954,0.0090103311,NA,NA,0.0429091336,E07000202,Ipswich
217,Kings Lynn & West Norfolk Borough Council  ,112438,39284,34.9,0.292358212,0.14158436,0.0318704816,0.4163527136,0.0738723144,0.0081967213,NA,NA,0.035765197,E07000146,King`s Lynn and West Norfolk
218,Luton Borough Council ,132825,39898,30,0.1623139004,0.4222517419,0.0394004712,0.2751516367,0.0487743747,0.0107273548,NA,NA,0.0413805203,E06000032,Luton
219,Maldon District Council ,47824,17320,36.2,0.3232678984,0.1084295612,0.0366050808,0.4086605081,0.0806004619,0.01073903,NA,NA,0.0316974596,E07000074,Maldon
220,Mid Suffolk District Council ,76471,28907,37.8,0.3236240357,0.1138478569,0.0556266648,0.3358356108,0.1309025496,0.0060193033,NA,NA,0.034143979,E07000203,Mid Suffolk
221,North Herts District Council ,98280,36846,37.5,0.3307550345,0.1881072572,0.0788145253,0.2667046626,0.0995494762,0.0057265375,NA,NA,0.0303425066,E07000099,North Hertfordshire
222,North Norfolk District Council ,81866,32530,39.7,0.2589302183,0.1091915155,0.1362434676,0.3768828773,0.0869658777,0.0056255764,NA,NA,0.0261604673,E07000147,North Norfolk
223,Norwich City Council ,103801,38514,37.1,0.1448304513,0.2954250402,0.073765384,0.209430337,0.2391338215,0.0065430752,NA,NA,0.0308718907,E07000148,Norwich
224,Peterborough City Council ,124044,45913,37,0.255788121,0.2510400105,0.0454990961,0.3349595975,0.0565635005,0.0093001982,NA,NA,0.0468494762,E06000031,Peterborough
225,Rochford District Council ,66054,23764,36,0.2954468945,0.105790271,0.0341272513,0.4344386467,0.0662767211,0.0081636088,NA,NA,0.0557566066,E07000075,Rochford
226,South Cambs District Council ,111666,47459,42.5,0.324364188,0.1388356265,0.1481910702,0.2415558693,0.1155945132,0.0041509513,NA,NA,0.0273077815,E07000012,South Cambridgeshire
227,South Norfolk Council ,99147,37431,37.8,0.3250781438,0.1327242126,0.0711709546,0.3178648714,0.1175229088,0.0060377762,NA,NA,0.0296011328,E07000149,South Norfolk
228,Southend Borough Council ,129688,43033,33.2,0.2677712453,0.1559500848,0.0614644575,0.3710408291,0.0787070388,0.0106197569,NA,NA,0.0544465875,E06000033,Southend-on-Sea
229,St Albans City Council ,104688,45112,43.1,0.3352323107,0.1809718035,0.1397854229,0.2143997163,0.0984882071,0.0036797304,NA,NA,0.027442809,E07000240,St Albans
230,St Edmundsbury Borough Council ,80330,29762,37,0.3099590081,0.133425173,0.0505342383,0.3635844365,0.0975404879,0.0072575768,NA,NA,0.0376990794,E07000204,St Edmundsbury
231,Stevenage Borough Council ,64107,23082,36,0.2132397539,0.293128845,0.0528550386,0.3276579153,0.0571007712,0.0087947318,NA,NA,0.0472229443,E07000243,Stevenage
232,Suffolk Coastal District Council ,93213,38868,41.7,0.3341309046,0.1350468252,0.0699289904,0.3184882165,0.1033240712,0.0059174642,NA,NA,0.0331635278,E07000205,Suffolk Coastal
233,Tendring District Council ,110610,40118,36.3,0.2487910664,0.1306396131,0.021137644,0.4835236054,0.0649085199,0.0102198514,NA,NA,0.0407796999,E07000076,Tendring
234,Three Rivers District Council ,67246,25231,37.5,0.3360152194,0.1298006421,0.1320597677,0.2927351274,0.0674963339,0.0074511514,NA,NA,0.0344417582,E07000102,Three Rivers
235,Thurrock Borough Council ,109359,37951,34.7,0.1946457274,0.227793734,0.0167848015,0.4589075387,0.0340702485,0.0164159047,NA,NA,0.0513820453,E06000034,Thurrock
236,Uttlesford District Council ,62452,22820,36.5,0.3605170903,0.0968886941,0.0948290973,0.319675723,0.0883873795,0.0071866784,NA,NA,0.0325153374,E07000077,Uttlesford
237,Watford Borough Council ,65442,25002,38.2,0.2125029998,0.2631789457,0.1504679626,0.2395808335,0.0741940645,0.0091992641,NA,NA,0.0508759299,E07000103,Watford
238,Waveney District Council ,90264,31054,34.4,0.2509499581,0.2198750564,0.0272428673,0.3690667869,0.090262124,0.0075030592,NA,NA,0.0351001481,E07000206,Waveney
239,Welwyn Hatfield Council ,79039,28589,36.2,0.3250900696,0.1903879114,0.0642554829,0.2983665046,0.0725803631,0.008884536,NA,NA,0.0404351324,E07000241,Welwyn Hatfield
240,Birmingham ,715014,231587,32.4,0.1698238675,0.4047722886,0.0857258827,0.2248096828,0.0550678579,0.0137183866,NA,NA,0.046082034,E08000025,Birmingham
241,Bromsgrove ,72116,25994,36,0.3319612218,0.1596522274,0.044087097,0.3563899361,0.0515503578,0.0116180657,NA,NA,0.0447410941,E07000234,Bromsgrove
242,Cannock Chase ,75130,21756,29,0.2118496047,0.2650303365,0.0326346755,0.388306674,0.027992278,0.0217411289,NA,NA,0.0524453024,E07000192,Cannock Chase
243,Coventry ,223394,69194,31,0.1778477903,0.3794982224,0.0343526895,0.2647483886,0.0614504148,0.0182241235,NA,NA,0.063878371,E08000026,Coventry
244,Dudley ,238888,83057,34.8,0.2215586886,0.2590148934,0.0219247023,0.3839652287,0.0435845263,0.0180358067,NA,NA,0.051916154,E08000027,Dudley
245,East Staffordshire ,85133,27706,32.5,0.2948458818,0.2275680358,0.0375369956,0.3393488775,0.0364902909,0.0152313578,NA,NA,0.0489785606,E07000193,East Staffordshire
246,Herefordshire ,134089,47092,35.1,0.3337509556,0.1060689714,0.08693621,0.3280812028,0.092733373,0.0075384354,NA,NA,0.0448908519,E06000019,"Herefordshire, County of"
247,Lichfield ,80019,25264,31.6,0.323860038,0.1643841039,0.0500712476,0.355248575,0.0408486384,0.008628879,NA,NA,0.056958518,E07000194,Lichfield
248,Malvern Hills ,59536,22098,37.1,0.3397592542,0.1017286632,0.1048511177,0.3142365825,0.0893293511,0.0083717984,NA,NA,0.0417232329,E07000235,Malvern Hills
249,Newcastle-under-Lyme ,98155,31315,31.9,0.2170525307,0.2589174517,0.044962478,0.3522912342,0.0513491937,0.0181063388,NA,NA,0.0573207728,E07000195,Newcastle-under-Lyme
250,North Warwickshire ,49296,16577,33.6,0.2514930325,0.2238643904,0.0244917657,0.3925921457,0.041865235,0.0158653556,NA,NA,0.049828075,E07000218,North Warwickshire
251,Nuneaton & Bedworth ,94061,31414,33.4,0.2188196346,0.3025084357,0.0218692303,0.3275291271,0.0479404087,0.0205959127,NA,NA,0.0607372509,E07000219,Nuneaton and Bedworth
252,Redditch ,60657,21326,35.2,0.2468348495,0.2515708525,0.0353559036,0.3620932195,0.0402325799,0.0123792554,NA,NA,0.0515333396,E07000236,Redditch
253,Rugby ,73891,28362,38.4,0.3026232283,0.2105634299,0.0736548903,0.2926450885,0.0556025668,0.0125520062,NA,NA,0.0523587899,E07000220,Rugby
254,Sandwell ,222706,69104,31,0.1169830979,0.4484689743,0.0190582311,0.3006482982,0.0323280852,0.0214169947,NA,NA,0.0610963186,E08000028,Sandwell
255,Shropshire ,226841,78073,34.4,0.3191884518,0.1432633561,0.0857786943,0.3299348046,0.0710360816,0.010605459,NA,NA,0.0401931526,E06000051,Shropshire
256,Solihull ,161999,54175,33.4,0.3105306876,0.13347485,0.0897646516,0.3246885095,0.0689247808,0.0139732349,NA,NA,0.0586432856,E08000029,Solihull
257,South Staffordshire ,86009,27199,31.6,0.3305268576,0.1338284496,0.0257730064,0.4072208537,0.0325011949,0.012794588,NA,NA,0.0573550498,E07000196,South Staffordshire
258,Stafford ,96083,31868,33.2,0.314798544,0.2013932471,0.0450608761,0.3321513744,0.0578323083,0.008127275,NA,NA,0.040636375,E07000197,Stafford
259,Staffordshire Moorlands ,78500,23312,29.7,0.2914807824,0.1837251201,0.051604324,0.3674931366,0.0449553878,0.0145847632,NA,NA,0.0461564859,E07000198,Staffordshire Moorlands
260,Stoke-on-Trent ,186143,43234,23.2,0.1468057547,0.2952537355,0.0275477633,0.3970254892,0.0396447241,0.0319887126,NA,NA,0.0617338206,E06000021,Stoke-on-Trent
261,Stratford on Avon ,96783,38562,39.8,0.378429542,0.1062444894,0.1102121259,0.2960686686,0.0558580986,0.0074684923,NA,NA,0.0457185831,E07000221,Stratford-on-Avon
262,Tamworth ,57316,18939,33,0.2715032473,0.2394001795,0.0256085327,0.34711442,0.0353239347,0.0159459317,NA,NA,0.0651037542,E07000199,Tamworth
263,Telford & Wrekin ,122321,42632,34.9,0.245167949,0.2493666729,0.037718146,0.3616297617,0.0408378683,0.0164195909,NA,NA,0.0488600113,E06000020,Telford and Wrekin
264,Walsall ,196807,65613,33.3,0.2149421609,0.310487251,0.0284699678,0.3358633198,0.0283327999,0.0225412647,NA,NA,0.0593632359,E08000030,Walsall
265,Warwick ,99432,37577,37.8,0.3194773399,0.2179258589,0.0916518083,0.2293690289,0.0930888575,0.0083029513,NA,NA,0.0401841552,E07000222,Warwick
266,Wolverhampton ,174325,57170,32.8,0.1749169145,0.3784852195,0.0274444639,0.3130138184,0.0349483995,0.0199055449,NA,NA,0.0512856393,E08000031,Wolverhampton
267,Worcester ,72960,26879,36.8,0.2673090517,0.2474422412,0.0493693962,0.2870270471,0.0827411734,0.0127236876,NA,NA,0.0533874028,E07000237,Worcester
268,Wychavon ,90807,34558,38.1,0.3681057932,0.1043173795,0.0723710863,0.3505411193,0.0486428613,0.0097227849,NA,NA,0.0462989756,E07000238,Wychavon
269,Wyre Forest ,76893,27570,35.9,0.2807399347,0.1819006166,0.0442872688,0.366231411,0.0520856003,0.0131664853,NA,NA,0.0615886834,E07000239,Wyre Forest
270,Amber Valley ,98256,35953,36.6,0.2687397436,0.2603120741,0.0366589714,0.3223653103,0.0551553417,0.0233916502,NA,NA,0.0333769087,E07000032,Amber Valley
271,Ashfield ,88429,26703,30.2,0.1538778414,0.2932254803,0.0738868292,0.3744148598,0.0362506085,0.0258023443,NA,NA,0.0425420365,E07000170,Ashfield
272,Bassetlaw ,84762,28344,33.4,0.2127434378,0.3344270392,0.0305179227,0.3316751341,0.0349280271,0.018663562,NA,NA,0.0370448772,E07000171,Bassetlaw
273,Blaby ,73121,23571,32.2,0.3036782487,0.1702940053,0.0483645157,0.3669339443,0.0574858937,0.0175639557,NA,NA,0.0356794366,E07000129,Blaby
274,Bolsover ,57243,15564,27.2,0.1328064765,0.3732973529,0.0226805448,0.3634669751,0.039385762,0.0283988692,NA,NA,0.0399640195,E07000033,Bolsover
275,Boston ,44081,14676,33.3,0.2494548923,0.1099073317,0.0429953666,0.5158081221,0.0303216135,0.0145816299,NA,NA,0.0369310439,E07000136,Boston
276,Broxtowe ,81239,30588,37.7,0.2414672421,0.2653981954,0.0639793383,0.3101870014,0.0776121355,0.0145154963,NA,NA,0.0268405911,E07000172,Broxtowe
277,Charnwood ,133336,40370,30.3,0.3033936091,0.2328461729,0.047436215,0.3078028239,0.0661629923,0.0172405251,NA,NA,0.0251176616,E07000130,Charnwood
278,Chesterfield ,80634,24770,30.7,0.1285022204,0.3689140089,0.0985062576,0.3042793702,0.0521598708,0.0177230521,NA,NA,0.02991522,E07000034,Chesterfield
279,Corby ,43428,14656,33.7,0.1617767467,0.3860534934,0.0270196507,0.3499590611,0.0353438865,0.0147379913,NA,NA,0.0251091703,E07000150,Corby
280,Daventry ,60665,23049,38,0.3754609744,0.1301141047,0.0480714998,0.3445702634,0.0578333116,0.0114104733,NA,NA,0.0325393726,E07000151,Daventry
281,Derby City Council ,175766,60460,34.4,0.2057889514,0.3135626861,0.0817730731,0.2981144558,0.0516870658,0.0167383394,NA,NA,0.0323354284,E06000015,Derby
282,Derbyshire Dales Dc ,57062,22523,39.5,0.3448918883,0.1739555121,0.0691293345,0.2793144785,0.0968787462,0.0109221685,NA,NA,0.024907872,E07000035,Derbyshire Dales
283,East Lindsey Dc ,105758,35576,33.6,0.2826062514,0.1258994828,0.0511299753,0.4422363391,0.0428659771,0.0159377108,NA,NA,0.0393242635,E07000137,East Lindsey
284,East Northamptonshire Dc ,65203,23648,36.3,0.3342354533,0.1564614344,0.045712111,0.3682341001,0.052435724,0.0146312585,NA,NA,0.0282899188,E07000152,East Northamptonshire
285,Erewash ,85209,29045,34.1,0.2637631262,0.2648992942,0.0337751765,0.3365467378,0.0501635393,0.0183852642,NA,NA,0.0324668618,E07000036,Erewash
286,Gedling ,86012,29475,34.3,0.2473282443,0.2669041561,0.0390839695,0.3421543681,0.0611704835,0.0135368957,NA,NA,0.029821883,E07000173,Gedling
287,Harborough ,67096,24290,36.2,0.380156443,0.1241251544,0.0807739811,0.3085220255,0.0669822972,0.0110745163,NA,NA,0.0283655825,E07000131,Harborough
288,High Peak ,71890,24567,34.2,0.2459803802,0.2614075793,0.0588594456,0.2881914764,0.1103105792,0.0124150283,NA,NA,0.0228355111,E07000037,High Peak
289,Hinckley & Bosworth Borough ,84868,27158,32,0.2823845644,0.1390750423,0.1127844466,0.3713086383,0.0462478828,0.0182266735,NA,NA,0.029972752,E07000132,Hinckley and Bosworth
290,Kettering ,70374,24053,34.2,0.3093585,0.1947781981,0.0379578431,0.3624495905,0.0486010061,0.013802852,NA,NA,0.0330520101,E07000153,Kettering
291,Leicester City Council ,220706,70642,32,0.1456640525,0.5286373545,0.0370884177,0.1815209082,0.0621443334,0.0184734294,NA,NA,0.0264715042,E06000016,Leicester
292,Lincoln ,62156,18986,30.5,0.2294848836,0.2984304224,0.0487727799,0.3008532603,0.0740018961,0.0156957758,NA,NA,0.0327609818,E07000138,Lincoln
293,Mansfield ,77133,21874,28.4,0.1659047271,0.3026881229,0.0265154979,0.4005211667,0.0370759806,0.0202980708,NA,NA,0.0469964341,E07000174,Mansfield
294,Melton Borough Council ,39419,12476,31.6,0.3621352998,0.131131773,0.0510580314,0.3400128246,0.0730201988,0.0150689324,NA,NA,0.02757294,E07000133,Melton
295,Newark & Sherwood District Council ,85889,30910,36,0.3119055322,0.2135554837,0.0611129084,0.3243934002,0.0489485603,0.0143966354,NA,NA,0.0256874798,E07000175,Newark and Sherwood
296,North East Derbyshire ,79331,24946,31.4,0.2144632406,0.3047783212,0.0364787942,0.3440631765,0.048825463,0.0180790507,NA,NA,0.0333119538,E07000038,North East Derbyshire
297,North Kesteven District Council ,84235,26201,31.1,0.3292622419,0.1264455555,0.0549597344,0.3888782871,0.0538529064,0.0112209458,NA,NA,0.035380329,E07000139,North Kesteven
298,North West Leicestershire ,72506,22751,31.4,0.2716364116,0.2300558217,0.0462397257,0.3496549602,0.0501076876,0.0202628456,NA,NA,0.0320425476,E07000134,North West Leicestershire
299,Northampton Borough Council ,144008,48465,33.7,0.2556071392,0.2246157021,0.0522645208,0.3527494068,0.0662127308,0.016671825,NA,NA,0.0318786753,E07000154,Northampton
300,Nottingham City Council ,196818,58122,29.5,0.1546230343,0.4065758233,0.0421699184,0.2504731427,0.0951619008,0.0203537387,NA,NA,0.0306424418,E06000018,Nottingham
301,Oadby & Wigston Borough Council ,44689,14785,33.1,0.2641190396,0.1899898546,0.1322962462,0.3040919851,0.0620223199,0.0163679405,NA,NA,0.0311126141,E07000135,Oadby and Wigston
302,Rushcliffe Borough Council ,85939,34589,40.2,0.3550839862,0.2011333083,0.0686056261,0.2451646477,0.0972274423,0.0091647634,NA,NA,0.0236202261,E07000176,Rushcliffe
303,Rutland County Council ,28933,10282,35.5,0.3871814822,0.1065940479,0.0761524995,0.3121960708,0.0780976464,0.0104065357,NA,NA,0.0293717176,E06000017,Rutland
304,South Derbyshire District Council ,74063,24149,32.6,0.2936767568,0.2349993789,0.0342043149,0.3480889478,0.0440597954,0.0180545778,NA,NA,0.0269162284,E07000039,South Derbyshire
305,South Holland ,65090,21459,33,0.2937229135,0.0904049583,0.0331795517,0.4850179412,0.0358357799,0.0180343912,NA,NA,0.0438044643,E07000140,South Holland
306,South Kesteven District Council ,105107,33976,32.3,0.3411820108,0.136213798,0.0559512597,0.3634918766,0.0570696963,0.0123616671,NA,NA,0.0337296915,E07000141,South Kesteven
307,South Northamptonshire District ,68912,25524,37,0.3747453377,0.114049522,0.0564566682,0.342775427,0.0738520608,0.0105782793,NA,NA,0.0275427049,E07000155,South Northamptonshire
308,Wellingborough Borough Council ,52929,18462,34.9,0.2871303217,0.2073448164,0.0350991225,0.3728740115,0.0489654425,0.0147871303,NA,NA,0.033799155,E07000156,Wellingborough
309,West Lindsey District Council ,73320,23083,31.5,0.3139539921,0.1321751939,0.0901096045,0.365030542,0.0540224408,0.0132131872,NA,NA,0.0314950396,E07000142,West Lindsey
310,Barnsley ,179405,53061,29.6,0.1079700722,0.3666534743,0.0215223987,0.3585684401,0.0507905995,0.0256120314,NA,NA,0.0688829837,E08000016,Barnsley
311,Bradford ,342381,128787,37.6,0.1651331268,0.3944963389,0.0697430641,0.2478122792,0.0682755247,0.0142871563,NA,NA,0.04025251,E08000032,Bradford
312,Calderdale ,145597,52704,36.2,0.2256754706,0.2716871585,0.0624620522,0.2838494232,0.0822518215,0.0169816333,NA,NA,0.0570924408,E08000033,Calderdale
313,Craven ,44473,17001,38.2,0.3288630081,0.1485794953,0.0670548791,0.2859831775,0.1073466267,0.0114110935,NA,NA,0.0507617199,E07000163,Craven
314,Doncaster ,219729,69142,31.5,0.1409707558,0.3433947528,0.0270313268,0.3505828585,0.0393682566,0.0206965376,NA,NA,0.0779555118,E08000017,Doncaster
315,East Riding of Yorkshire ,266618,84518,31.7,0.2903641828,0.1529851629,0.0586620602,0.3796114437,0.0673347689,0.0104001514,NA,NA,0.0406422301,E06000011,East Riding of Yorkshire
316,Hambleton ,70942,24516,34.6,0.3923152227,0.1228585414,0.0580437265,0.2934002284,0.0810491108,0.0084026758,NA,NA,0.0439304944,E07000164,Hambleton
317,Harrogate ,117772,44435,37.7,0.351322156,0.0955553055,0.1350737032,0.2942275233,0.0807021492,0.0061213008,NA,NA,0.036997862,E07000165,Harrogate
