Scottish Council Area 2011,National Statistics Socio-economic Classification (NS-SeC),Count
S12000017,L9.1 Own account workers (non-professional),11748
S12000017,L9.2 Own account workers (agriculture),2243
S12000017,L10 Lower supervisory,9858
S12000017,L11.1 Lower technical craft,6494
S12000017,L11.2 Lower technical process operative,909
S12000017,L12.1 Semi-routine sales,8880
S12000017,L12.2 Semi-routine service,11934
S12000017,L12.3 Semi-routine technical,1239
S12000017,L12.4 Semi-routine operative,2852
S12000017,L12.5 Semi-routine agriculture,675
S12000017,L12.6 Semi-routine clerical,2196
S12000017,L12.7 Semi-routine childcare,1191
S12000017,L13.1 Routine sales and service,3820
S12000017,L13.2 Routine production,1160
S12000017,L13.3 Routine technical,8434
S12000017,L13.4 Routine operative,8184
S12000017,L13.5 Routine agricultural,421
S12000017,L14.1 Never worked,3488
S12000017,L14.2 Long-term unemployed,2381
S12000017,L15 Full-time students,8378
S12000018,All people aged 16 to 74,60893
S12000018,L1 Employers in large organisations,6
S12000018,L2 Higher managerial,818
S12000018,L3.1 (Traditional) - Employees,1592
S12000018,L3.2 (New) - Employees,1169
S12000018,L3.3 (Traditional) - Self-employed,413
S12000018,L3.4 (New) - Self-employed,51
S12000018,L4.1 (Traditional) - Employees,6889
S12000018,L4.2 (New) - Employees,503
S12000018,L4.3 (Traditional) - Self-employed,331
S12000018,L4.4 (New) - Self-employed,66
S12000018,L5 Lower managerial,1912
S12000018,L6 Higher supervisory,1555
S12000018,L7.1 Intermediate clerical and administrative,4627
S12000018,L7.2 Intermediate sales and service,2711
S12000018,L7.3 Intermediate technical and auxiliary,936
S12000018,L7.4 Intermediate engineering,346
S12000018,L8.1 Employers in small organisations (non-professional),912
S12000018,L8.2 Employers in small organisations (agriculture),20
S12000018,L9.1 Own account workers (non-professional),2122
S12000018,L9.2 Own account workers (agriculture),72
S12000018,L10 Lower supervisory,2403
S12000018,L11.1 Lower technical craft,1956
S12000018,L11.2 Lower technical process operative,343
S12000018,L12.1 Semi-routine sales,3063
S12000018,L12.2 Semi-routine service,4627
S12000018,L12.3 Semi-routine technical,586
S12000018,L12.4 Semi-routine operative,1573
S12000018,L12.5 Semi-routine agriculture,26
S12000018,L12.6 Semi-routine clerical,700
S12000018,L12.7 Semi-routine childcare,266
S12000018,L13.1 Routine sales and service,974
S12000018,L13.2 Routine production,1575
S12000018,L13.3 Routine technical,2988
S12000018,L13.4 Routine operative,4452
S12000018,L13.5 Routine agricultural,64
S12000018,L14.1 Never worked,2315
S12000018,L14.2 Long-term unemployed,1109
S12000018,L15 Full-time students,4822
S12000019,All people aged 16 to 74,61511
S12000019,L1 Employers in large organisations,6
S12000019,L2 Higher managerial,911
S12000019,L3.1 (Traditional) - Employees,2056
S12000019,L3.2 (New) - Employees,1374
S12000019,L3.3 (Traditional) - Self-employed,360
S12000019,L3.4 (New) - Self-employed,93
S12000019,L4.1 (Traditional) - Employees,5948
S12000019,L4.2 (New) - Employees,726
S12000019,L4.3 (Traditional) - Self-employed,482
S12000019,L4.4 (New) - Self-employed,107
S12000019,L5 Lower managerial,2575
S12000019,L6 Higher supervisory,2112
S12000019,L7.1 Intermediate clerical and administrative,5994
S12000019,L7.2 Intermediate sales and service,2346
S12000019,L7.3 Intermediate technical and auxiliary,1076
S12000019,L7.4 Intermediate engineering,335
S12000019,L8.1 Employers in small organisations (non-professional),1235
S12000019,L8.2 Employers in small organisations (agriculture),72
S12000019,L9.1 Own account workers (non-professional),3247
S12000019,L9.2 Own account workers (agriculture),120
S12000019,L10 Lower supervisory,2848
S12000019,L11.1 Lower technical craft,2203
S12000019,L11.2 Lower technical process operative,181
S12000019,L12.1 Semi-routine sales,3141
S12000019,L12.2 Semi-routine service,4463
S12000019,L12.3 Semi-routine technical,661
S12000019,L12.4 Semi-routine operative,692
S12000019,L12.5 Semi-routine agriculture,130
S12000019,L12.6 Semi-routine clerical,805
S12000019,L12.7 Semi-routine childcare,424
S12000019,L13.1 Routine sales and service,1099
S12000019,L13.2 Routine production,535
S12000019,L13.3 Routine technical,3144
S12000019,L13.4 Routine operative,3622
S12000019,L13.5 Routine agricultural,140
S12000019,L14.1 Never worked,1608
S12000019,L14.2 Long-term unemployed,969
S12000019,L15 Full-time students,3671
S12000020,All people aged 16 to 74,68410
S12000020,L1 Employers in large organisations,9
S12000020,L2 Higher managerial,1324
S12000020,L3.1 (Traditional) - Employees,1607
S12000020,L3.2 (New) - Employees,618
S12000020,L3.3 (Traditional) - Self-employed,452
S12000020,L3.4 (New) - Self-employed,69
S12000020,L4.1 (Traditional) - Employees,6979
S12000020,L4.2 (New) - Employees,400
S12000020,L4.3 (Traditional) - Self-employed,714
S12000020,L4.4 (New) - Self-employed,79
S12000020,L5 Lower managerial,2257
S12000020,L6 Higher supervisory,3510
S12000020,L7.1 Intermediate clerical and administrative,4259
S12000020,L7.2 Intermediate sales and service,2989
S12000020,L7.3 Intermediate technical and auxiliary,745
S12000020,L7.4 Intermediate engineering,292
S12000020,L8.1 Employers in small organisations (non-professional),1679
S12000020,L8.2 Employers in small organisations (agriculture),312
S12000020,L9.1 Own account workers (non-professional),3411
S12000020,L9.2 Own account workers (agriculture),766
S12000020,L10 Lower supervisory,4230
S12000020,L11.1 Lower technical craft,2717
S12000020,L11.2 Lower technical process operative,437
S12000020,L12.1 Semi-routine sales,3744
S12000020,L12.2 Semi-routine service,4618
S12000020,L12.3 Semi-routine technical,696
S12000020,L12.4 Semi-routine operative,2289
S12000020,L12.5 Semi-routine agriculture,352
S12000020,L12.6 Semi-routine clerical,784
S12000020,L12.7 Semi-routine childcare,297
S12000020,L13.1 Routine sales and service,1381
S12000020,L13.2 Routine production,1100
S12000020,L13.3 Routine technical,3431
S12000020,L13.4 Routine operative,3841
S12000020,L13.5 Routine agricultural,120
S12000020,L14.1 Never worked,1339
S12000020,L14.2 Long-term unemployed,893
S12000020,L15 Full-time students,3670
S12000021,All people aged 16 to 74,102348
S12000021,L1 Employers in large organisations,7
S12000021,L2 Higher managerial,1359
S12000021,L3.1 (Traditional) - Employees,2474
S12000021,L3.2 (New) - Employees,1528
S12000021,L3.3 (Traditional) - Self-employed,596
S12000021,L3.4 (New) - Self-employed,106
S12000021,L4.1 (Traditional) - Employees,10390
S12000021,L4.2 (New) - Employees,994
S12000021,L4.3 (Traditional) - Self-employed,779
S12000021,L4.4 (New) - Self-employed,138
S12000021,L5 Lower managerial,3809
S12000021,L6 Higher supervisory,2696
S12000021,L7.1 Intermediate clerical and administrative,7393
S12000021,L7.2 Intermediate sales and service,3781
S12000021,L7.3 Intermediate technical and auxiliary,1237
S12000021,L7.4 Intermediate engineering,466
S12000021,L8.1 Employers in small organisations (non-professional),2180
S12000021,L8.2 Employers in small organisations (agriculture),116
S12000021,L9.1 Own account workers (non-professional),4879
S12000021,L9.2 Own account workers (agriculture),349
S12000021,L10 Lower supervisory,5221
S12000021,L11.1 Lower technical craft,3959
S12000021,L11.2 Lower technical process operative,1070
S12000021,L12.1 Semi-routine sales,5315
S12000021,L12.2 Semi-routine service,7590
S12000021,L12.3 Semi-routine technical,1279
S12000021,L12.4 Semi-routine operative,2078
S12000021,L12.5 Semi-routine agriculture,143
S12000021,L12.6 Semi-routine clerical,1139
S12000021,L12.7 Semi-routine childcare,291
S12000021,L13.1 Routine sales and service,1974
S12000021,L13.2 Routine production,1692
S12000021,L13.3 Routine technical,4520
S12000021,L13.4 Routine operative,6489
S12000021,L13.5 Routine agricultural,133
S12000021,L14.1 Never worked,3788
S12000021,L14.2 Long-term unemployed,3075
S12000021,L15 Full-time students,7315
S12000044,All people aged 16 to 74,251388
S12000044,L1 Employers in large organisations,9
S12000044,L2 Higher managerial,3354
S12000044,L3.1 (Traditional) - Employees,5478
S12000044,L3.2 (New) - Employees,4376
S12000044,L3.3 (Traditional) - Self-employed,866
S12000044,L3.4 (New) - Self-employed,237
S12000044,L4.1 (Traditional) - Employees,25018
S12000044,L4.2 (New) - Employees,2838
S12000044,L4.3 (Traditional) - Self-employed,1204
S12000044,L4.4 (New) - Self-employed,272
S12000044,L5 Lower managerial,9463
S12000044,L6 Higher supervisory,6996
S12000044,L7.1 Intermediate clerical and administrative,21724
S12000044,L7.2 Intermediate sales and service,11077
S12000044,L7.3 Intermediate technical and auxiliary,3117
S12000044,L7.4 Intermediate engineering,1356
S12000044,L8.1 Employers in small organisations (non-professional),4144
S12000044,L8.2 Employers in small organisations (agriculture),85
S12000044,L9.1 Own account workers (non-professional),11023
S12000044,L9.2 Own account workers (agriculture),211
S12000044,L10 Lower supervisory,11271
S12000044,L11.1 Lower technical craft,9483
S12000044,L11.2 Lower technical process operative,1254
S12000044,L12.1 Semi-routine sales,13072
S12000044,L12.2 Semi-routine service,16586
S12000044,L12.3 Semi-routine technical,3444
S12000044,L12.4 Semi-routine operative,6468
S12000044,L12.5 Semi-routine agriculture,101
S12000044,L12.6 Semi-routine clerical,3005
S12000044,L12.7 Semi-routine childcare,840
S12000044,L13.1 Routine sales and service,3824
S12000044,L13.2 Routine production,4992
S12000044,L13.3 Routine technical,14003
S12000044,L13.4 Routine operative,17896
S12000044,L13.5 Routine agricultural,214
S12000044,L14.1 Never worked,8930
S12000044,L14.2 Long-term unemployed,6148
S12000044,L15 Full-time students,17009
S12000023,All people aged 16 to 74,15942
S12000023,L1 Employers in large organisations,1
S12000023,L2 Higher managerial,223
S12000023,L3.1 (Traditional) - Employees,465
S12000023,L3.2 (New) - Employees,121
S12000023,L3.3 (Traditional) - Self-employed,153
S12000023,L3.4 (New) - Self-employed,13
S12000023,L4.1 (Traditional) - Employees,1937
S12000023,L4.2 (New) - Employees,55
S12000023,L4.3 (Traditional) - Self-employed,216
S12000023,L4.4 (New) - Self-employed,23
S12000023,L5 Lower managerial,572
S12000023,L6 Higher supervisory,411
S12000023,L7.1 Intermediate clerical and administrative,972
S12000023,L7.2 Intermediate sales and service,324
S12000023,L7.3 Intermediate technical and auxiliary,159
S12000023,L7.4 Intermediate engineering,57
S12000023,L8.1 Employers in small organisations (non-professional),503
S12000023,L8.2 Employers in small organisations (agriculture),266
S12000023,L9.1 Own account workers (non-professional),1068
S12000023,L9.2 Own account workers (agriculture),821
S12000023,L10 Lower supervisory,973
S12000023,L11.1 Lower technical craft,485
S12000023,L11.2 Lower technical process operative,81
S12000023,L12.1 Semi-routine sales,678
S12000023,L12.2 Semi-routine service,1423
S12000023,L12.3 Semi-routine technical,59
S12000023,L12.4 Semi-routine operative,354
S12000023,L12.5 Semi-routine agriculture,150
S12000023,L12.6 Semi-routine clerical,162
S12000023,L12.7 Semi-routine childcare,96
S12000023,L13.1 Routine sales and service,225
S12000023,L13.2 Routine production,71
S12000023,L13.3 Routine technical,904
S12000023,L13.4 Routine operative,834
S12000023,L13.5 Routine agricultural,42
S12000023,L14.1 Never worked,231
S12000023,L14.2 Long-term unemployed,130
S12000023,L15 Full-time students,684
S12000024,All people aged 16 to 74,107546
S12000024,L1 Employers in large organisations,37
S12000024,L2 Higher managerial,2200
S12000024,L3.1 (Traditional) - Employees,4356
S12000024,L3.2 (New) - Employees,2565
S12000024,L3.3 (Traditional) - Self-employed,1387
S12000024,L3.4 (New) - Self-employed,222
S12000024,L4.1 (Traditional) - Employees,13159
S12000024,L4.2 (New) - Employees,1241
S12000024,L4.3 (Traditional) - Self-employed,1482
S12000024,L4.4 (New) - Self-employed,282
S12000024,L5 Lower managerial,5405
S12000024,L6 Higher supervisory,3179
S12000024,L7.1 Intermediate clerical and administrative,7751
S12000024,L7.2 Intermediate sales and service,3968
S12000024,L7.3 Intermediate technical and auxiliary,1110
S12000024,L7.4 Intermediate engineering,459
S12000024,L8.1 Employers in small organisations (non-professional),3273
S12000024,L8.2 Employers in small organisations (agriculture),444
S12000024,L9.1 Own account workers (non-professional),6548
S12000024,L9.2 Own account workers (agriculture),974
S12000024,L10 Lower supervisory,5529
S12000024,L11.1 Lower technical craft,3448
S12000024,L11.2 Lower technical process operative,305
S12000024,L12.1 Semi-routine sales,5181
S12000024,L12.2 Semi-routine service,5999
S12000024,L12.3 Semi-routine technical,840
S12000024,L12.4 Semi-routine operative,1274
S12000024,L12.5 Semi-routine agriculture,886
S12000024,L12.6 Semi-routine clerical,1317
S12000024,L12.7 Semi-routine childcare,456
S12000024,L13.1 Routine sales and service,1822
S12000024,L13.2 Routine production,1038
S12000024,L13.3 Routine technical,4159
S12000024,L13.4 Routine operative,5141
S12000024,L13.5 Routine agricultural,211
S12000024,L14.1 Never worked,2201
S12000024,L14.2 Long-term unemployed,1165
S12000024,L15 Full-time students,6532
S12000038,All people aged 16 to 74,130873
S12000038,L1 Employers in large organisations,16
S12000038,L2 Higher managerial,2274
S12000038,L3.1 (Traditional) - Employees,4299
S12000038,L3.2 (New) - Employees,2783
S12000038,L3.3 (Traditional) - Self-employed,722
S12000038,L3.4 (New) - Self-employed,134
S12000038,L4.1 (Traditional) - Employees,15189
S12000038,L4.2 (New) - Employees,1631
S12000038,L4.3 (Traditional) - Self-employed,868
S12000038,L4.4 (New) - Self-employed,205
S12000038,L5 Lower managerial,5470
S12000038,L6 Higher supervisory,4006
S12000038,L7.1 Intermediate clerical and administrative,11771
S12000038,L7.2 Intermediate sales and service,5624
S12000038,L7.3 Intermediate technical and auxiliary,2035
S12000038,L7.4 Intermediate engineering,625
S12000038,L8.1 Employers in small organisations (non-professional),2085
S12000038,L8.2 Employers in small organisations (agriculture),59
S12000038,L9.1 Own account workers (non-professional),4993
S12000038,L9.2 Own account workers (agriculture),133
S12000038,L10 Lower supervisory,5371
S12000038,L11.1 Lower technical craft,4832
S12000038,L11.2 Lower technical process operative,938
S12000038,L12.1 Semi-routine sales,6334
S12000038,L12.2 Semi-routine service,8478
S12000038,L12.3 Semi-routine technical,1555
S12000038,L12.4 Semi-routine operative,2083
S12000038,L12.5 Semi-routine agriculture,48
S12000038,L12.6 Semi-routine clerical,1641
S12000038,L12.7 Semi-routine childcare,320
S12000038,L13.1 Routine sales and service,2143
S12000038,L13.2 Routine production,1786
S12000038,L13.3 Routine technical,5473
S12000038,L13.4 Routine operative,7313
S12000038,L13.5 Routine agricultural,103
S12000038,L14.1 Never worked,4221
S12000038,L14.2 Long-term unemployed,2695
S12000038,L15 Full-time students,10617
S12000026,All people aged 16 to 74,83661
S12000026,L1 Employers in large organisations,21
S12000026,L2 Higher managerial,1752
S12000026,L3.1 (Traditional) - Employees,2843
S12000026,L3.2 (New) - Employees,1376
S12000026,L3.3 (Traditional) - Self-employed,934
S12000026,L3.4 (New) - Self-employed,137
S12000026,L4.1 (Traditional) - Employees,9278
S12000026,L4.2 (New) - Employees,780
S12000026,L4.3 (Traditional) - Self-employed,1218
S12000026,L4.4 (New) - Self-employed,182
S12000026,L5 Lower managerial,3718
S12000026,L6 Higher supervisory,2449
S12000026,L7.1 Intermediate clerical and administrative,5567
S12000026,L7.2 Intermediate sales and service,2335
S12000026,L7.3 Intermediate technical and auxiliary,1037
S12000026,L7.4 Intermediate engineering,343
S12000026,L8.1 Employers in small organisations (non-professional),2540
S12000026,L8.2 Employers in small organisations (agriculture),723
S12000026,L9.1 Own account workers (non-professional),5755
S12000026,L9.2 Own account workers (agriculture),1301
S12000026,L10 Lower supervisory,3878
S12000026,L11.1 Lower technical craft,2383
S12000026,L11.2 Lower technical process operative,371
S12000026,L12.1 Semi-routine sales,3822
S12000026,L12.2 Semi-routine service,5312
S12000026,L12.3 Semi-routine technical,743
S12000026,L12.4 Semi-routine operative,1536
S12000026,L12.5 Semi-routine agriculture,976
S12000026,L12.6 Semi-routine clerical,904
S12000026,L12.7 Semi-routine childcare,494
S12000026,L13.1 Routine sales and service,1175
S12000026,L13.2 Routine production,2066
S12000026,L13.3 Routine technical,3762
S12000026,L13.4 Routine operative,4056
S12000026,L13.5 Routine agricultural,252
S12000026,L14.1 Never worked,1761
S12000026,L14.2 Long-term unemployed,1252
S12000026,L15 Full-time students,4629
S12000027,All people aged 16 to 74,17062
S12000027,L1 Employers in large organisations,0
S12000027,L2 Higher managerial,250
S12000027,L3.1 (Traditional) - Employees,505
S12000027,L3.2 (New) - Employees,148
S12000027,L3.3 (Traditional) - Self-employed,109
S12000027,L3.4 (New) - Self-employed,14
S12000027,L4.1 (Traditional) - Employees,2244
S12000027,L4.2 (New) - Employees,103
S12000027,L4.3 (Traditional) - Self-employed,142
S12000027,L4.4 (New) - Self-employed,17
S12000027,L5 Lower managerial,665
S12000027,L6 Higher supervisory,471
S12000027,L7.1 Intermediate clerical and administrative,1133
S12000027,L7.2 Intermediate sales and service,364
S12000027,L7.3 Intermediate technical and auxiliary,176
S12000027,L7.4 Intermediate engineering,74
S12000027,L8.1 Employers in small organisations (non-professional),404
S12000027,L8.2 Employers in small organisations (agriculture),129
S12000027,L9.1 Own account workers (non-professional),748
S12000027,L9.2 Own account workers (agriculture),357
S12000027,L10 Lower supervisory,1221
S12000027,L11.1 Lower technical craft,678
S12000027,L11.2 Lower technical process operative,63
S12000027,L12.1 Semi-routine sales,717
S12000027,L12.2 Semi-routine service,1694
S12000027,L12.3 Semi-routine technical,90
S12000027,L12.4 Semi-routine operative,489
S12000027,L12.5 Semi-routine agriculture,32
S12000027,L12.6 Semi-routine clerical,199
S12000027,L12.7 Semi-routine childcare,143
S12000027,L13.1 Routine sales and service,195
S12000027,L13.2 Routine production,130
S12000027,L13.3 Routine technical,1197
S12000027,L13.4 Routine operative,992
S12000027,L13.5 Routine agricultural,108
S12000027,L14.1 Never worked,200
S12000027,L14.2 Long-term unemployed,120
S12000027,L15 Full-time students,741
S12000028,All people aged 16 to 74,83196
S12000028,L1 Employers in large organisations,18
S12000028,L2 Higher managerial,1449
S12000028,L3.1 (Traditional) - Employees,2681
S12000028,L3.2 (New) - Employees,1480
S12000028,L3.3 (Traditional) - Self-employed,813
S12000028,L3.4 (New) - Self-employed,132
S12000028,L4.1 (Traditional) - Employees,10504
S12000028,L4.2 (New) - Employees,812
S12000028,L4.3 (Traditional) - Self-employed,836
S12000028,L4.4 (New) - Self-employed,162
S12000028,L5 Lower managerial,3670
S12000028,L6 Higher supervisory,2520
S12000028,L7.1 Intermediate clerical and administrative,6268
S12000028,L7.2 Intermediate sales and service,2653
S12000028,L7.3 Intermediate technical and auxiliary,1055
S12000028,L7.4 Intermediate engineering,386
S12000028,L8.1 Employers in small organisations (non-professional),2137
S12000028,L8.2 Employers in small organisations (agriculture),306
S12000028,L9.1 Own account workers (non-professional),4033
S12000028,L9.2 Own account workers (agriculture),562
S12000028,L10 Lower supervisory,4086
S12000028,L11.1 Lower technical craft,3220
S12000028,L11.2 Lower technical process operative,400
S12000028,L12.1 Semi-routine sales,4478
S12000028,L12.2 Semi-routine service,5619
S12000028,L12.3 Semi-routine technical,734
S12000028,L12.4 Semi-routine operative,1065
S12000028,L12.5 Semi-routine agriculture,307
S12000028,L12.6 Semi-routine clerical,965
S12000028,L12.7 Semi-routine childcare,260
S12000028,L13.1 Routine sales and service,1700
S12000028,L13.2 Routine production,756
S12000028,L13.3 Routine technical,3234
S12000028,L13.4 Routine operative,4097
S12000028,L13.5 Routine agricultural,105
S12000028,L14.1 Never worked,2420
S12000028,L14.2 Long-term unemployed,1601
S12000028,L15 Full-time students,5672
S12000029,All people aged 16 to 74,234622
S12000029,L1 Employers in large organisations,24
S12000029,L2 Higher managerial,3948
S12000029,L3.1 (Traditional) - Employees,7718
S12000029,L3.2 (New) - Employees,5488
S12000029,L3.3 (Traditional) - Self-employed,1578
S12000029,L3.4 (New) - Self-employed,316
S12000029,L4.1 (Traditional) - Employees,26599
S12000029,L4.2 (New) - Employees,3222
S12000029,L4.3 (Traditional) - Self-employed,1653
S12000029,L4.4 (New) - Self-employed,444
S12000029,L5 Lower managerial,10123
S12000029,L6 Higher supervisory,7206
S12000029,L7.1 Intermediate clerical and administrative,21438
S12000029,L7.2 Intermediate sales and service,9068
S12000029,L7.3 Intermediate technical and auxiliary,2594
S12000029,L7.4 Intermediate engineering,1496
S12000029,L8.1 Employers in small organisations (non-professional),4893
S12000029,L8.2 Employers in small organisations (agriculture),300
S12000029,L9.1 Own account workers (non-professional),11168
S12000029,L9.2 Own account workers (agriculture),800
S12000029,L10 Lower supervisory,9650
S12000029,L11.1 Lower technical craft,8556
S12000029,L11.2 Lower technical process operative,1094
S12000029,L12.1 Semi-routine sales,11295
S12000029,L12.2 Semi-routine service,14168
S12000029,L12.3 Semi-routine technical,2630
S12000029,L12.4 Semi-routine operative,4449
S12000029,L12.5 Semi-routine agriculture,360
S12000029,L12.6 Semi-routine clerical,2930
S12000029,L12.7 Semi-routine childcare,936
S12000029,L13.1 Routine sales and service,3618
S12000029,L13.2 Routine production,3550
S12000029,L13.3 Routine technical,11123
S12000029,L13.4 Routine operative,12508
S12000029,L13.5 Routine agricultural,351
S12000029,L14.1 Never worked,6884
S12000029,L14.2 Long-term unemployed,4707
S12000029,L15 Full-time students,15737
S12000030,All people aged 16 to 74,67240
S12000030,L1 Employers in large organisations,27
S12000030,L2 Higher managerial,1494
S12000030,L3.1 (Traditional) - Employees,3501
S12000030,L3.2 (New) - Employees,1599
S12000030,L3.3 (Traditional) - Self-employed,899
S12000030,L3.4 (New) - Self-employed,163
S12000030,L4.1 (Traditional) - Employees,7778
S12000030,L4.2 (New) - Employees,785
S12000030,L4.3 (Traditional) - Self-employed,882
S12000030,L4.4 (New) - Self-employed,211
S12000030,L5 Lower managerial,3261
S12000030,L6 Higher supervisory,1804
S12000030,L7.1 Intermediate clerical and administrative,4337
S12000030,L7.2 Intermediate sales and service,1896
S12000030,L7.3 Intermediate technical and auxiliary,705
S12000030,L7.4 Intermediate engineering,255
S12000030,L8.1 Employers in small organisations (non-professional),1686
S12000030,L8.2 Employers in small organisations (agriculture),139
S12000030,L9.1 Own account workers (non-professional),3457
S12000030,L9.2 Own account workers (agriculture),431
S12000030,L10 Lower supervisory,2770
S12000030,L11.1 Lower technical craft,1779
S12000030,L11.2 Lower technical process operative,199
S12000030,L12.1 Semi-routine sales,2622
S12000030,L12.2 Semi-routine service,3421
S12000030,L12.3 Semi-routine technical,528
S12000030,L12.4 Semi-routine operative,768
S12000030,L12.5 Semi-routine agriculture,163
S12000030,L12.6 Semi-routine clerical,675
S12000030,L12.7 Semi-routine childcare,425
S12000030,L13.1 Routine sales and service,1180
S12000030,L13.2 Routine production,450
S12000030,L13.3 Routine technical,2220
S12000030,L13.4 Routine operative,3121
S12000030,L13.5 Routine agricultural,90
S12000030,L14.1 Never worked,1737
S12000030,L14.2 Long-term unemployed,1002
S12000030,L15 Full-time students,8780
S12000039,All people aged 16 to 74,67866
S12000039,L1 Employers in large organisations,1
S12000039,L2 Higher managerial,788
S12000039,L3.1 (Traditional) - Employees,1441
S12000039,L3.2 (New) - Employees,892
S12000039,L3.3 (Traditional) - Self-employed,195
S12000039,L3.4 (New) - Self-employed,37
S12000039,L4.1 (Traditional) - Employees,6814
S12000039,L4.2 (New) - Employees,529
S12000039,L4.3 (Traditional) - Self-employed,323
S12000039,L4.4 (New) - Self-employed,56
S12000039,L5 Lower managerial,2324
S12000039,L6 Higher supervisory,2107
S12000039,L7.1 Intermediate clerical and administrative,6292
S12000039,L7.2 Intermediate sales and service,2766
S12000039,L7.3 Intermediate technical and auxiliary,1073
S12000039,L7.4 Intermediate engineering,395
S12000039,L8.1 Employers in small organisations (non-professional),869
S12000039,L8.2 Employers in small organisations (agriculture),24
S12000039,L9.1 Own account workers (non-professional),2724
S12000039,L9.2 Own account workers (agriculture),67
S12000039,L10 Lower supervisory,3159
S12000039,L11.1 Lower technical craft,2772
S12000039,L11.2 Lower technical process operative,319
S12000039,L12.1 Semi-routine sales,3562
S12000039,L12.2 Semi-routine service,5551
S12000039,L12.3 Semi-routine technical,867
S12000039,L12.4 Semi-routine operative,1363
S12000039,L12.5 Semi-routine agriculture,28
S12000039,L12.6 Semi-routine clerical,856
S12000039,L12.7 Semi-routine childcare,436
S12000039,L13.1 Routine sales and service,1345
S12000039,L13.2 Routine production,940
S12000039,L13.3 Routine technical,3206
S12000039,L13.4 Routine operative,4374
S12000039,L13.5 Routine agricultural,86
S12000039,L14.1 Never worked,2658
S12000039,L14.2 Long-term unemployed,1826
S12000039,L15 Full-time students,4801
S12000040,All people aged 16 to 74,130151
S12000040,L1 Employers in large organisations,7
S12000040,L2 Higher managerial,2273
S12000040,L3.1 (Traditional) - Employees,3972
S12000040,L3.2 (New) - Employees,3587
S12000040,L3.3 (Traditional) - Self-employed,647
S12000040,L3.4 (New) - Self-employed,201
S12000040,L4.1 (Traditional) - Employees,12697
S12000040,L4.2 (New) - Employees,1831
S12000040,L4.3 (Traditional) - Self-employed,897
S12000040,L4.4 (New) - Self-employed,233
S12000040,L5 Lower managerial,5792
S12000040,L6 Higher supervisory,3760
S12000040,L7.1 Intermediate clerical and administrative,11412
S12000040,L7.2 Intermediate sales and service,6211
S12000040,L7.3 Intermediate technical and auxiliary,1313
S12000040,L7.4 Intermediate engineering,802
S12000040,L8.1 Employers in small organisations (non-professional),2085
S12000040,L8.2 Employers in small organisations (agriculture),96
S12000040,L9.1 Own account workers (non-professional),5621
S12000040,L9.2 Own account workers (agriculture),228
S12000040,L10 Lower supervisory,5986
S12000040,L11.1 Lower technical craft,4314
S12000040,L11.2 Lower technical process operative,830
S12000040,L12.1 Semi-routine sales,6526
S12000040,L12.2 Semi-routine service,7429
S12000040,L12.3 Semi-routine technical,1544
S12000040,L12.4 Semi-routine operative,3380
S12000040,L12.5 Semi-routine agriculture,166
S12000040,L12.6 Semi-routine clerical,1668
S12000040,L12.7 Semi-routine childcare,619
S12000040,L13.1 Routine sales and service,1697
S12000040,L13.2 Routine production,2276
S12000040,L13.3 Routine technical,6601
S12000040,L13.4 Routine operative,9453
S12000040,L13.5 Routine agricultural,153
S12000040,L14.1 Never worked,3479
S12000040,L14.2 Long-term unemployed,2317
S12000040,L15 Full-time students,8048
